ville,date_extraction,date_observation,temperature_moy,temp_min,temp_max,humidite_moy,precipitation,vent_moyen,visibilite_moy,conditions,annee,mois,jour,saison,temp_ideale,peu_vent,peu_pluie,bonne_visibilite,score_meteo,periode_recommandee
Paris,2025-07-04 22:49:24,2025-07-04 12:00:00,19.6,14.42,29.51,58,13.2,3.2,9.6,clear sky,2025,7,4,Été,False,True,False,True,40,False
Marseille,2025-07-04 22:49:23,2025-07-04 12:00:00,28.2,23.42,31.95,46,0.0,6.0,10.0,clear sky,2025,7,4,Été,True,True,True,True,100,True
Toulouse,2025-07-04 22:49:24,2025-07-04 12:00:00,24.6,17.27,34.93,51,3.1,5.2,10.0,light rain,2025,7,4,Été,True,True,True,True,100,True
Nice,2025-07-04 22:49:33,2025-07-04 12:00:00,27.8,23.36,33.32,58,0.7,3.4,10.0,clear sky,2025,7,4,Été,True,True,True,True,100,True
Lyon,2025-07-04 22:49:24,2025-07-04 12:00:00,22.9,15.79,32.32,39,2.7,2.4,10.0,clear sky,2025,7,4,Été,True,True,True,True,100,True
