ville,date_extraction,date_observation,temperature,humidite,pression,vent_vitesse,vent_direction,conditions,aqi,co,no2,o3,pm2_5,pm10,so2,annee,mois,jour
Lyon,2025-06-28 22:31:53,2025-06-28 19:22:02,30.96,42,1022,5.14,350,ciel dégagé,1,95.79,1.0,58.3,1.14,1.57,0.13,2025,6,28
Nice,2025-06-28 22:31:56,2025-06-28 19:29:25,28.36,65,1020,1.54,210,ciel dégagé,3,123.49,1.28,104.02,10.41,16.36,1.61,2025,6,28
Toulouse,2025-06-28 22:31:55,2025-06-28 19:26:40,32.99,29,1021,3.6,310,ciel dégagé,1,69.15,0.84,58.65,1.43,2.43,0.08,2025,6,28
Paris,2025-06-28 22:31:53,2025-06-28 19:29:48,27.48,58,1025,3.6,10,ciel dégagé,1,89.2,1.54,46.31,2.19,3.16,0.16,2025,6,28
Marseille,2025-06-28 22:31:52,2025-06-28 19:23:00,30.32,37,1020,2.06,200,ciel dégagé,2,99.6,0.57,65.11,4.67,10.23,0.33,2025,6,28
