ville,date_extraction,date_observation,temperature_moy,temp_min,temp_max,humidite_moy,precipitation,vent_moyen,visibilite_moy,conditions,annee,mois,jour,saison,temp_ideale,peu_vent,peu_pluie,bonne_visibilite,score_meteo,periode_recommandee
Paris,2025-07-03 21:37:39,2025-07-03 12:00:00,22.0,14.27,29.87,42,4.5,3.1,10.0,clear sky,2025,7,3,Été,True,True,True,True,100,True
Marseille,2025-07-03 21:37:39,2025-07-03 12:00:00,29.1,22.51,32.34,50,0.9,3.8,10.0,few clouds,2025,7,3,Été,True,True,True,True,100,True
Toulouse,2025-07-03 21:37:39,2025-07-03 12:00:00,25.0,16.01,35.12,56,5.0,4.2,10.0,light rain,2025,7,3,Été,True,True,False,True,70,False
Nice,2025-07-03 21:37:40,2025-07-03 12:00:00,27.7,24.4,30.33,63,4.8,2.3,10.0,clear sky,2025,7,3,Été,True,True,True,True,100,True
Lyon,2025-07-03 21:37:39,2025-07-03 12:00:00,25.1,17.99,33.68,39,2.5,2.4,10.0,clear sky,2025,7,3,Été,True,True,True,True,100,True
