ville,date_extraction,date_observation,temperature_moy,temp_min,temp_max,humidite_moy,precipitation,vent_moyen,visibilite_moy,conditions,annee,mois,jour,saison,temp_ideale,peu_vent,peu_pluie,bonne_visibilite,score_meteo,periode_recommandee
Paris,2025-07-15 21:09:48,2025-07-15 12:00:00,22.6,18.56,29.84,62,0.8,2.5,10.0,scattered clouds,2025,7,15,Été,True,True,True,True,100,True
Marseille,2025-07-15 21:09:48,2025-07-15 12:00:00,27.5,22.12,32.97,45,0.0,8.2,10.0,clear sky,2025,7,15,Été,True,True,True,True,100,True
Toulouse,2025-07-15 21:09:48,2025-07-15 12:00:00,26.5,17.94,37.65,43,0.0,3.3,10.0,broken clouds,2025,7,15,Été,True,True,True,True,100,True
Nice,2025-07-15 21:09:54,2025-07-15 12:00:00,26.8,23.48,29.05,59,0.0,1.9,10.0,few clouds,2025,7,15,Été,True,True,True,True,100,True
Lyon,2025-07-15 21:09:48,2025-07-15 12:00:00,25.1,18.39,33.2,43,0.1,2.7,10.0,scattered clouds,2025,7,15,Été,True,True,True,True,100,True
