ville,date_extraction,date_observation,temperature_moy,temp_min,temp_max,humidite_moy,precipitation,vent_moyen,visibilite_moy,conditions,annee,mois,jour,saison,temp_ideale,peu_vent,peu_pluie,bonne_visibilite,score_meteo,periode_recommandee
Paris,2025-07-01 19:36:21,2025-07-01 12:00:00,24.9,16.22,38.14,39,0.5,3.3,10.0,clear sky,2025,7,1,Été,True,True,True,True,100,True
Marseille,2025-07-01 19:36:20,2025-07-01 12:00:00,29.0,24.5,32.53,55,0.0,3.0,10.0,clear sky,2025,7,1,Été,False,True,True,True,70,False
Toulouse,2025-07-01 19:36:22,2025-07-01 12:00:00,27.0,18.47,38.97,55,4.8,3.8,10.0,few clouds,2025,7,1,Été,True,True,True,True,100,True
Nice,2025-07-01 19:36:22,2025-07-01 12:00:00,28.2,21.61,32.22,56,1.1,2.9,10.0,light rain,2025,7,1,Été,False,True,True,True,70,False
Lyon,2025-07-01 19:36:21,2025-07-01 12:00:00,27.0,19.15,38.0,47,0.0,2.8,10.0,clear sky,2025,7,1,Été,True,True,True,True,100,True
