ville,date_extraction,date_observation,temperature_moy,temp_min,temp_max,humidite_moy,precipitation,vent_moyen,visibilite_moy,conditions,annee,mois,jour,saison,temp_ideale,peu_vent,peu_pluie,bonne_visibilite,score_meteo,periode_recommandee
Paris,2025-07-12 21:43:01,2025-07-12 12:00:00,24.4,17.81,32.4,43,0.1,3.3,10.0,clear sky,2025,7,12,Été,True,True,True,True,100,True
Marseille,2025-07-12 21:43:01,2025-07-12 12:00:00,24.6,17.41,28.65,67,1.1,3.0,10.0,light rain,2025,7,12,Été,True,True,True,True,100,True
Toulouse,2025-07-12 21:43:03,2025-07-12 12:00:00,24.4,17.67,32.42,62,17.9,3.3,10.0,heavy intensity rain,2025,7,12,Été,True,True,False,True,70,False
Nice,2025-07-12 21:43:03,2025-07-12 12:00:00,24.6,21.14,29.22,68,0.0,2.0,10.0,few clouds,2025,7,12,Été,True,True,True,True,100,True
Lyon,2025-07-12 21:43:01,2025-07-12 12:00:00,25.1,19.24,32.98,57,6.0,2.1,9.7,light rain,2025,7,12,Été,True,True,False,True,70,False
