ville,date_extraction,date_observation,temperature_moy,temp_min,temp_max,humidite_moy,precipitation,vent_moyen,visibilite_moy,conditions,annee,mois,jour,saison,temp_ideale,peu_vent,peu_pluie,bonne_visibilite,score_meteo,periode_recommandee
Paris,2025-07-17 21:21:55,2025-07-17 12:00:00,24.3,17.3,33.26,54,8.2,3.1,10.0,few clouds,2025,7,17,Été,True,True,False,True,70,False
Marseille,2025-07-17 21:21:55,2025-07-17 12:00:00,25.3,23.72,31.09,66,0.0,3.9,9.4,few clouds,2025,7,17,Été,True,True,True,True,100,True
Toulouse,2025-07-17 21:21:57,2025-07-17 12:00:00,24.5,17.17,32.54,57,1.0,3.5,10.0,few clouds,2025,7,17,Été,True,True,True,True,100,True
Nice,2025-07-17 21:21:57,2025-07-17 12:00:00,26.4,23.95,29.56,63,0.0,2.5,10.0,clear sky,2025,7,17,Été,True,True,True,True,100,True
Lyon,2025-07-17 21:21:56,2025-07-17 12:00:00,24.7,18.99,33.09,56,11.1,2.1,10.0,clear sky,2025,7,17,Été,True,True,False,True,70,False
