ville,date_extraction,date_observation,temperature_moy,temp_min,temp_max,humidite_moy,precipitation,vent_moyen,visibilite_moy,conditions,annee,mois,jour,saison,temp_ideale,peu_vent,peu_pluie,bonne_visibilite,score_meteo,periode_recommandee
Paris,2025-07-18 16:52:00,2025-07-18 12:00:00,22.4,15.82,30.96,57,12.8,3.8,9.9,clear sky,2025,7,18,Été,True,True,False,True,70,False
Marseille,2025-07-18 16:52:00,2025-07-18 12:00:00,25.3,22.43,31.42,70,0.8,4.0,9.7,clear sky,2025,7,18,Été,True,True,True,True,100,True
Toulouse,2025-07-18 16:52:06,2025-07-18 12:00:00,22.8,16.79,29.94,62,7.5,3.3,9.8,few clouds,2025,7,18,Été,True,True,False,True,70,False
Nice,2025-07-18 16:52:06,2025-07-18 12:00:00,26.3,23.0,31.21,68,0.5,2.6,10.0,scattered clouds,2025,7,18,Été,True,True,True,True,100,True
Lyon,2025-07-18 16:52:00,2025-07-18 12:00:00,23.6,18.24,30.39,68,25.4,1.9,9.8,clear sky,2025,7,18,Été,True,True,False,True,70,False
