ville,date_extraction,date_observation,temperature_moy,temp_min,temp_max,humidite_moy,precipitation,vent_moyen,visibilite_moy,conditions,annee,mois,jour,saison,temp_ideale,peu_vent,peu_pluie,bonne_visibilite,score_meteo,periode_recommandee
Paris,2025-07-06 23:16:42,2025-07-06 12:00:00,18.0,13.14,26.29,62,12.3,3.0,9.9,light rain,2025,7,6,Été,False,True,False,True,40,False
Marseille,2025-07-06 23:16:42,2025-07-06 12:00:00,23.4,18.7,27.66,46,1.2,10.7,10.0,light rain,2025,7,6,Été,True,True,True,True,100,True
Toulouse,2025-07-06 23:16:43,2025-07-06 12:00:00,21.2,13.68,31.18,52,2.6,4.6,10.0,clear sky,2025,7,6,Été,True,True,True,True,100,True
Nice,2025-07-06 23:16:43,2025-07-06 12:00:00,24.7,21.36,31.66,45,0.1,4.1,10.0,clear sky,2025,7,6,Été,True,True,True,True,100,True
Lyon,2025-07-06 23:16:42,2025-07-06 12:00:00,18.6,12.19,26.02,58,2.0,3.5,10.0,light rain,2025,7,6,Été,False,True,True,True,70,False
