ville,date_extraction,date_observation,temperature_moy,temp_min,temp_max,humidite_moy,precipitation,vent_moyen,visibilite_moy,conditions,annee,mois,jour,saison,temp_ideale,peu_vent,peu_pluie,bonne_visibilite,score_meteo,periode_recommandee
Paris,2025-07-05 22:43:16,2025-07-05 12:00:00,17.7,12.9,23.74,65,17.2,4.0,9.7,clear sky,2025,7,5,Été,False,True,False,True,40,False
Marseille,2025-07-05 22:43:16,2025-07-05 12:00:00,25.7,19.47,29.58,45,0.0,10.4,10.0,clear sky,2025,7,5,Été,True,True,True,True,100,True
Toulouse,2025-07-05 22:43:19,2025-07-05 12:00:00,21.7,13.5,28.15,53,1.8,5.1,10.0,clear sky,2025,7,5,Été,True,True,True,True,100,True
Nice,2025-07-05 22:43:18,2025-07-05 12:00:00,26.5,21.54,31.54,49,2.0,3.8,10.0,clear sky,2025,7,5,Été,True,True,True,True,100,True
Lyon,2025-07-05 22:43:16,2025-07-05 12:00:00,19.7,12.99,27.42,54,3.3,2.7,10.0,clear sky,2025,7,5,Été,False,True,True,True,70,False
