ville,date_extraction,date_observation,temperature_moy,temp_min,temp_max,humidite_moy,precipitation,vent_moyen,visibilite_moy,conditions,annee,mois,jour,saison,temp_ideale,peu_vent,peu_pluie,bonne_visibilite,score_meteo,periode_recommandee
Paris,2025-07-07 21:16:32,2025-07-07 12:00:00,19.6,11.99,27.67,49,0.6,2.6,10.0,broken clouds,2025,7,7,Été,False,True,True,True,70,False
Marseille,2025-07-07 21:16:32,2025-07-07 12:00:00,23.8,16.83,27.99,44,0.0,8.6,10.0,few clouds,2025,7,7,Été,True,True,True,True,100,True
Toulouse,2025-07-07 21:16:36,2025-07-07 12:00:00,22.8,13.29,33.95,38,0.3,3.3,10.0,light rain,2025,7,7,Été,True,True,True,True,100,True
Nice,2025-07-07 21:16:36,2025-07-07 12:00:00,24.0,21.07,27.79,51,0.0,2.9,10.0,clear sky,2025,7,7,Été,True,True,True,True,100,True
Lyon,2025-07-07 21:16:32,2025-07-07 12:00:00,19.8,12.31,28.72,51,1.3,3.7,10.0,light rain,2025,7,7,Été,False,True,True,True,70,False
