ville,date_extraction,date_observation,temperature,humidite,pression,vent_vitesse,vent_direction,conditions,aqi,co,no2,o3,pm2_5,pm10,so2,annee,mois,jour
Lyon,2025-06-29 15:37:06,2025-06-29 12:33:17,33.08,42,1020,4.12,360,ciel dégagé,2,88.82,0.36,73.82,3.1,3.49,0.2,2025,6,29
Nice,2025-06-29 15:37:08,2025-06-29 12:37:07,35.83,44,1019,2.11,119,ciel dégagé,2,127.62,0.54,98.91,13.01,17.47,1.21,2025,6,29
Toulouse,2025-06-29 15:37:08,2025-06-29 12:37:07,34.97,34,1019,3.09,0,ciel dégagé,2,67.96,0.16,69.37,1.73,3.02,0.13,2025,6,29
Paris,2025-06-29 15:37:06,2025-06-29 12:33:49,29.03,53,1024,3.09,360,peu nuageux,2,100.89,0.51,80.48,5.09,6.2,0.39,2025,6,29
Marseille,2025-06-29 15:37:06,2025-06-29 12:36:51,34.99,31,1019,7.72,190,ciel dégagé,2,100.73,0.35,74.42,5.58,9.96,0.54,2025,6,29
