ville,date_extraction,date_observation,temperature_moy,temp_min,temp_max,humidite_moy,precipitation,vent_moyen,visibilite_moy,conditions,annee,mois,jour,saison,temp_ideale,peu_vent,peu_pluie,bonne_visibilite,score_meteo,periode_recommandee
Paris,2025-07-13 21:49:52,2025-07-13 12:00:00,22.9,16.54,30.13,49,1.0,4.3,10.0,scattered clouds,2025,7,13,Été,True,True,True,True,100,True
Marseille,2025-07-13 21:49:52,2025-07-13 12:00:00,26.7,22.78,31.66,54,0.0,5.6,10.0,clear sky,2025,7,13,Été,True,True,True,True,100,True
Toulouse,2025-07-13 21:49:53,2025-07-13 12:00:00,24.1,16.59,31.2,55,0.7,3.4,10.0,light rain,2025,7,13,Été,True,True,True,True,100,True
Nice,2025-07-13 21:49:53,2025-07-13 12:00:00,25.5,22.3,29.92,65,0.1,2.0,10.0,scattered clouds,2025,7,13,Été,True,True,True,True,100,True
Lyon,2025-07-13 21:49:52,2025-07-13 12:00:00,24.3,18.06,30.63,56,3.2,2.1,10.0,broken clouds,2025,7,13,Été,True,True,True,True,100,True
