condition_id,condition_name
1,clear sky
2,broken clouds
3,Snow
4,few clouds
5,Overcast
6,Clear
7,light rain
8,Rain
9,Partially cloudy
10,moderate rain
11,heavy intensity rain
12,scattered clouds
