ville,date_extraction,date_observation,temperature_moy,temp_min,temp_max,humidite_moy,precipitation,vent_moyen,visibilite_moy,conditions,annee,mois,jour,saison,temp_ideale,peu_vent,peu_pluie,bonne_visibilite,score_meteo,periode_recommandee
Marseille,2025-07-04 15:22:58,2020-01-08 12:00:00,6.9,2.5,14.7,81,0.0,10.0,15.6,Partially cloudy,2020,1,8,Hiver,False,True,True,True,70,False
Toulouse,2025-07-04 15:22:58,2020-01-08 12:00:00,7.7,3.2,13.0,89,0.242,8.2,8.8,Rain,2020,1,8,Hiver,False,True,True,True,70,False
Nice,2025-07-04 15:22:58,2020-01-08 12:00:00,9.9,6.7,16.8,58,0.0,27.5,33.1,Clear,2020,1,8,Hiver,False,False,True,True,50,False
Paris,2025-07-04 15:22:58,2020-01-08 12:00:00,11.7,10.2,12.2,94,0.0,15.1,15.7,Overcast,2020,1,8,Hiver,False,True,True,True,70,False
Lyon,2025-07-04 15:22:58,2020-01-08 12:00:00,6.6,3.8,9.8,89,0.0,7.1,6.8,Overcast,2020,1,8,Hiver,False,True,True,True,70,False
Lyon,2025-07-04 15:22:58,2020-01-09 12:00:00,8.5,2.1,14.0,64,0.0,40.6,32.6,Partially cloudy,2020,1,9,Hiver,False,False,True,True,50,False
Paris,2025-07-04 15:22:58,2020-01-09 12:00:00,11.5,10.5,12.3,90,1.881,23.5,19.0,Rain,2020,1,9,Hiver,False,False,True,True,50,False
Toulouse,2025-07-04 15:22:58,2020-01-09 12:00:00,10.5,7.4,13.7,79,0.0,28.0,34.0,Partially cloudy,2020,1,9,Hiver,False,False,True,True,50,False
Nice,2025-07-04 15:22:58,2020-01-09 12:00:00,9.1,5.6,14.2,59,0.0,25.4,35.3,Clear,2020,1,9,Hiver,False,False,True,True,50,False
Marseille,2025-07-04 15:22:58,2020-01-09 12:00:00,7.0,1.2,14.7,78,0.027,16.2,31.1,Snow,2020,1,9,Hiver,False,True,True,True,70,False
Nice,2025-07-04 15:22:58,2020-01-10 12:00:00,7.7,5.0,9.9,66,0.85,24.2,26.3,Rain,2020,1,10,Hiver,False,False,True,True,50,False
Marseille,2025-07-04 15:22:58,2020-01-10 12:00:00,9.0,6.2,11.4,86,5.197,23.7,28.9,Rain,2020,1,10,Hiver,False,False,False,True,20,False
Paris,2025-07-04 15:22:58,2020-01-10 12:00:00,8.5,6.8,10.4,83,1.74,19.7,19.6,Rain,2020,1,10,Hiver,False,True,True,True,70,False
Toulouse,2025-07-04 15:22:58,2020-01-10 12:00:00,8.5,4.9,10.2,85,1.061,21.7,33.0,Rain,2020,1,10,Hiver,False,False,True,True,50,False
Lyon,2025-07-04 15:22:58,2020-01-10 12:00:00,9.4,7.6,11.9,74,0.338,35.3,49.0,Rain,2020,1,10,Hiver,False,False,True,True,50,False
Toulouse,2025-07-04 15:22:58,2020-01-11 12:00:00,5.4,1.4,9.9,77,0.0,10.3,27.5,Partially cloudy,2020,1,11,Hiver,False,True,True,True,70,False
Paris,2025-07-04 15:22:58,2020-01-11 12:00:00,5.5,3.7,8.4,77,0.0,18.3,22.0,Partially cloudy,2020,1,11,Hiver,False,True,True,True,70,False
Marseille,2025-07-04 15:22:58,2020-01-11 12:00:00,6.6,2.3,13.2,82,0.0,18.4,24.3,Partially cloudy,2020,1,11,Hiver,False,True,True,True,70,False
Lyon,2025-07-04 15:22:58,2020-01-11 12:00:00,6.5,5.3,7.9,80,0.0,21.6,28.8,Overcast,2020,1,11,Hiver,False,False,True,True,50,False
Nice,2025-07-04 15:22:58,2020-01-11 12:00:00,10.3,7.1,15.7,72,0.009,20.2,26.8,Rain,2020,1,11,Hiver,False,False,True,True,50,False
Toulouse,2025-07-04 15:22:58,2020-01-12 12:00:00,3.0,-2.1,10.0,83,0.011,7.7,13.6,Rain,2020,1,12,Hiver,False,True,True,True,70,False
Paris,2025-07-04 15:22:58,2020-01-12 12:00:00,6.6,3.1,9.0,86,0.0,19.3,20.3,Overcast,2020,1,12,Hiver,False,True,True,True,70,False
